Gene	CF18_KO_6h	CF18_WT_6h	CF18_KO_4h	CF18_WT_4h
WBGene00008194	349.159099272394	663.936507856916	350.659586266337	527.498271585424
WBGene00008195	6.18297753360469	9.21505558196871	7.11309630156046	8.15486414676306
WBGene00008196	6.58602024180411	6.30279866983904	6.0856713317364	5.71088080862045
WBGene00008197	5.78054395267719	6.03850242823454	7.44302136902469	5.98811098096864
WBGene00008204	1.93423974375931	5.10297718836731	2.12710816076302	4.57537851087651
WBGene00008198	5.68237327885991	6.37052805617545	5.15349926530281	4.20879758478945
WBGene00008200	5.30358402942202	6.93816186568227	5.76391497639627	6.41449038188893
WBGene00008199	23.1902743904924	94.5425218947886	25.7945958373211	97.3532012501765
WBGene00189993	0.0262141476811425	0.113002932784337	0.0228890705271817	0.213189700460143
WBGene00008201	0	0.0390332145515066	0.0228890705271817	0.0580061174216663
WBGene00008202	0.197273524557225	0.579558064833188	0.168719687197628	0.537967922220881
WBGene00008203	5.62339328558189	9.85261743123303	7.88403268892679	11.0567828063412
WBGene00007820	12.4248337450835	18.6545039956069	14.2494921942887	18.3910946712047
WBGene00007821	0.650088660472994	0.731603810015842	0.626710434585484	0.777658124630549
WBGene00007822	0.0773936606005213	0.319787555524216	0.117246046427131	0.213279637238972
WBGene00006487	2.8578810259387	1.09166769592006	1.47960833935207	0.630811611073781
WBGene00007827	3.59187716101069	7.43420958449935	5.47224559000749	10.464289490216
WBGene00169999	0.021243101678091	0.0174682518406618	0.0228890705271817	0
WBGene00007823	0.0780180518219743	0.186972651017167	0.201605890025945	0.135177488115965
WBGene00001811	5.94957185312879	4.15833882586836	4.57757107436045	4.5596351503418
WBGene00007826	14.9442336931766	7.87983698586483	15.7894323970101	9.01384754529416
WBGene00007824	122.290230177538	114.099430909657	141.428311259284	132.648514521198
WBGene00007825	5.07824726728787	4.08148671905341	4.95499082491236	4.19679623237228
WBGene00044238	1.01706264424042	1.44747316348553	1.25132118546925	1.51230258750309
WBGene00011374	25.0378209644177	23.7295713816375	20.5601002083602	22.7993052980981
WBGene00005677	0.10485659072457	0.225424734521566	0.0366832026390728	0.262678874842443
WBGene00005678	0.140498574413341	0.0967065408847002	0.108749852919774	0.0872193865449691
WBGene00011371	4.54583489143828	6.27170671797824	5.78559986397395	7.97929398435379
WBGene00004061	15.3828825538755	14.7655132422908	12.9690659264444	12.4208584179647
WBGene00138714	0	0.0407862055396392	0.0595722731662545	0.0580061174216663
WBGene00011372	17.4150121971211	26.5186353486393	18.1730420997598	26.5777190352342
WBGene00165663	0.021243101678091	0.0547484754040358	0	0.0625197677432334
WBGene00200385	0.0474572493592335	0.0174682518406618	0	0.0241892611979678
WBGene00170842	0	0.0745604471267479	0.0156926320172691	0.0241892611979678
WBGene00007357	7.77416781049002	8.73057994017372	10.2293348724852	11.1732550937452
WBGene00007358	0.714822393735642	0.95986294388547	0.528752836190043	1.347821893485
WBGene00001550	0.958438604200746	1.36176157918903	0.919072678015887	1.19203801606392
WBGene00007359	0	0.0553296064511432	0.0209905706218037	0.0383305065452656
WBGene00255703	0.042486203356182	0.153789138323976	0.0366832026390728	0.0388408641490335
WBGene00255702	0.180377077660732	0.19106936188735	0.0909575372007928	0.0675437756685684
WBGene00045013	1.90566225018391	4.16194892823233	2.09251983534459	3.32200242143183
WBGene00023501	0.236037464353261	1.72663622093868	0.0385817025444508	1.15403799356477
WBGene00008711	7.79066013661101	16.0900728969648	10.1041006118918	21.2276216596412
WBGene00197347	0.0899434527154155	0.0733885871857227	0.0228890705271817	0.0191652532726328
WBGene00008710	46.5898313822012	17.3555402855135	36.4720184370267	16.2700990403416
WBGene00008713	1.07511046059578	1.20340831718228	1.02862245963993	1.30609875727101
WBGene00008709	6.22524346651491	10.7854917597737	6.60912622932191	8.62731082932772
WBGene00001240	231.941929703064	116.418481537735	247.749680798637	109.595908245914
WBGene00008708	2.16158389854938	1.01233895529493	1.64893638441977	1.10397778786907
WBGene00008707	302.950066722905	215.090259732903	293.691970973703	245.903912845265
WBGene00008706	15.8799331314401	14.4215758988981	11.7623335452615	15.1587356987525
WBGene00007067	2.71903535474376	4.26037559560493	2.75591827905022	3.60704863235051
WBGene00003525	0.182984777769523	6.81981910619925	0.126340984842422	4.51344014311316
WBGene00015153	0.972593131996895	0.525981449370177	0.789734622066978	0.537127080571002
WBGene00002061	72.3195613817666	30.7099738118377	71.0096391417441	34.9300410446044
WBGene00255704	0.206591225341874	0.091437970073492	0.262477918189644	0.106384639817602
WBGene00235314	7.3788847711303	10.2015327648268	7.04051059906231	8.74586448352341
WBGene00001177	448.677891193455	671.759826408386	469.911913685943	642.606441866768
WBGene00015152	1.27186972915453	1.8068134065677	1.13307402654152	1.55752902749759
WBGene00021413	0.172308159318988	0.255673798438789	0.154527993974138	0.0917330368665362
WBGene00021412	2.96338609165329	1.94957472380325	2.96641792369512	1.84322583784201
WBGene00021414	0.021243101678091	0	0	0.0433545144706006
WBGene00018976	43.129687234735	45.2227861561995	28.016665558549	44.0312952217222
WBGene00169451	0	0.095534680943675	0.0457781410543634	0.0635404829507693
WBGene00004496	537.483355440625	290.810471023204	680.718826350407	349.712128999193
WBGene00018975	111.1188636328	66.265874863154	97.2057175045938	55.3873023441275
WBGene00000480	60.2546952955476	78.0508344352582	51.9551346463753	91.2921484752413
WBGene00020999	86.4131402946977	47.1520319899596	113.865427171854	49.6564781973168
WBGene00021000	6.12894450256115	3.56296545075474	5.45725542799399	3.93173507440217
WBGene00021004	106.265494358189	54.4671064106058	102.193372415661	49.3004184651606
WBGene00021001	0.375777428553597	1.44235670229609	0.377825464711397	0.900476356144287
WBGene00044512	5.41481139533447	12.4316244079452	6.82592973155302	8.01716443833843
WBGene00023356	0.021243101678091	0.0908568390263846	0	0.0241892611979678
WBGene00005302	0.0980123710571592	0.150283156347711	0.0385817025444508	0.0872193865449691
WBGene00005303	0.205966834120421	0.147358305418553	0.160924503779782	0.291982080744575
WBGene00021002	2.62222359859236	3.52157891847437	2.62168465208944	6.08796312031282
WBGene00006648	35.1029708162784	28.9952219687376	39.4625460999936	29.7646088728535
WBGene00022435	0.0780180518219743	0.0943628210026498	0.101553414409862	0.0771713706942991
WBGene00022434	4.88360699040885	4.0359418178622	4.5418923307888	3.56435508597214
WBGene00000838	129.715135402805	91.0546061721263	132.511096649739	89.3661884874809
