Gene	Ecoli_15	Ecoli_20	Ecoli_25	Bsub_15	Bsub_20	Bsub_25
WBGene00023193	0.0664683414402872	0.071815499127445	0.349397696113541	0.298874511902647	0.256182403689827	0.159067077132839
WBGene00022277	29.7757038272096	28.7881167849402	20.1689004635433	34.6750394623179	29.7835275159117	27.6970029196585
WBGene00022276	75.2155916519719	68.0744717072268	75.3552147393067	78.7031186783679	95.5530079582551	95.0991259855394
WBGene00022278	132.569044503987	124.981467388922	114.119556712767	125.310161182603	116.41378614121	95.1419933984828
WBGene00022279	36.5305502781872	24.5002954241065	29.8417577177586	20.0408359136243	26.9544808110675	30.0800617893772
WBGene00022275	0.0664683414402872	0.207106651692652	0.14159722667411	0.149437255951323	0.174711665156239	0.0837885300359267
WBGene00044345	40.2655858076846	42.2548954528961	42.9572826778027	40.9909203708612	37.570768451039	37.9742091667202
WBGene00021677	41.1781148406135	40.2639998536137	41.3509843764306	43.2119188141887	39.2299818271485	37.0182219738049
WBGene00021678	1.38579608554309	1.03542361845198	1.09438225679706	0.83391401902426	0.702062929084601	1.10065690287857
WBGene00000812	108.331778945468	111.365439250756	116.68128976056	102.010719883509	97.7721753035222	106.300799576866
WBGene00021683	42.9394326058141	43.6232332811001	46.9140668705494	49.0536037916677	43.3202698044688	45.4333805387943
WBGene00021682	22.1893186395389	23.2537857074572	18.8409681084018	30.1367169720998	27.0682283263669	20.3973186385682
WBGene00021676	44.3199680696081	45.208678409905	47.5577416246281	45.4000595980618	41.7737090579092	46.0196196279646
WBGene00189949	15.4081955400326	11.4291967466263	7.80353626802638	7.11782856966418	10.9559822678538	6.91959955591555
WBGene00021681	253.215801814516	237.016955563478	234.324662873986	253.686565758353	231.03805432959	191.337319859384
WBGene00004274	679.62175570862	649.769399952834	541.076077693642	721.031703645756	683.647812756858	558.95440378487
WBGene00004418	1844.84774243949	1721.83324117126	1553.26017904472	1767.27275808045	1731.7944021564	1582.25813719979
WBGene00018774	1.42050523667172	1.77566838192262	2.0044333050109	1.53107363296266	1.80504701391785	1.01901969989879
WBGene00018773	0.737794075033713	0.262869153854416	0.369411770422423	0.30944286209395	0.479358106780846	0.634116981475211
WBGene00000622	0.0646398393034058	0.126951306875523	0.410189272296155	0.30944286209395	0.180779240159023	0.266654242780628
WBGene00004962	0.216311312875911	0	0.366705937131069	0.148860951511053	0.0754031635308036	0.232194297173607
WBGene00003229	667.520803737062	629.314739172356	548.651685831949	730.223113271189	631.051564210816	546.485925351766
WBGene00018772	0.480356176500178	1.06752961238335	0.529066591370029	1.35281284863878	1.53691194118071	0.475049904342373
WBGene00018771	0.598439957624143	0.948604803990662	0.808481970157489	0.613889701312384	0.48827698832677	0.591147052929176
WBGene00271776	0.19757652218398	0.334998000188704	0.410189272296155	0.310019166534221	0	0.358952755755569
WBGene00000253	26.4632548033888	26.4672476296624	28.4267248067769	22.1185457327566	27.2034453754022	23.1157169242263
WBGene00004225	9.37939143498325	9.14641743708878	8.89172519670385	6.57157797084794	8.09199329562268	7.70716966105709
WBGene00018958	8.17494023705376	8.60252676915066	7.86054876964823	20.3745004626709	20.8430299935836	11.9365234788401
WBGene00018957	39.9393659421509	44.7972587696705	41.8432880032267	31.4360453282787	31.1142396525699	32.6137677237999
WBGene00018955	11.949492805478	14.5187614488921	12.3456740092215	9.21142191215355	9.23978029096336	9.99367862148994
WBGene00000227	69.4712985349593	73.8755214882875	81.3363710380537	84.3603616036263	78.8576603682874	78.7225604719871
WBGene00021666	0.369811288585297	0.788294114356406	0.713397799953256	0.380029923854502	0.491310775828162	0.434231302852481
WBGene00004246	139.520029894646	146.464791088078	174.411277332653	145.653989076736	136.40693012588	172.704275829217
WBGene00021662	6.41955774758693	7.39315217456919	8.92787269353176	5.58925502472903	5.3428775845949	8.81806786007986
WBGene00255594	0.774331728299223	1.09160910783187	1.07511753574415	0.468872163796306	0.759445848565304	1.54554951572621
WBGene00021664	6.9070384020729	8.90971156911951	10.4813392243728	13.6251051378132	11.6087958565678	12.6040184698479
WBGene00306121	0.26975525469647	0.470289152753911	1.37487087685393	0.30944286209395	0.177745452657631	0.808472711280898
WBGene00021671	3.82456439063261	2.87394095939868	6.60487909988162	2.96369856758583	2.81222726541432	9.56538596066936
WBGene00021672	0.0664683414402872	0.0634756534377617	0.060791576182614	0.0800028030713134	0	0
WBGene00021668	0.487895069709262	0.876475957656374	0.490994922787651	0.303870534778163	0.433927856347458	0.318134154265677
WBGene00021673	1.41024126730723	1.63943718773689	2.05169571473674	2.30554524485794	2.59493665636784	2.41863946410886
WBGene00021667	7.0157547878509	7.63945127705551	8.2368709131653	7.53040115586235	6.65506923963248	7.6765923557114
WBGene00021675	14.247146234593	12.482537872458	12.768185321195	10.3530498799509	13.1395082820554	14.299705065917
WBGene00016903	3.65303666768809	5.65876003387687	4.21545995268181	5.86269739783769	6.13490979323968	4.96792002706101
WBGene00016905	22.3894307073166	21.1335525525396	18.8458527325129	19.6080306758764	18.6158513332269	17.0987152310573
WBGene00016902	25.8272775208089	34.5311056773232	42.1924179283203	23.4904513713464	26.32523211698	38.1746614422808
WBGene00016906	21.7320613014613	21.4230079794972	27.0294341016237	14.5800057244879	18.0400360313637	21.2199152862546
WBGene00002077	799.734653149588	696.400182013739	650.505673802139	775.672689681501	680.75513673831	506.216149622035
WBGene00235385	3.50296881159091	3.87716451673501	3.28571871817253	3.48105920096647	3.77939147973467	3.48483642138041
WBGene00002079	386.338274836906	348.171626747186	330.193293644036	357.547048214783	329.197034370134	295.147497732959
