Gene	Ecoli_15	Ecoli_20	Ecoli_25	Bsub_15	Bsub_20	Bsub_25
WBGene00023193	0.0648064119911188	0.0739088013609613	0.353814411068772	0.288034066984062	0.269310970945844	0.153562139504051
WBGene00022277	29.1494699018626	28.4828637539241	21.0413733057103	33.1997389282743	29.970994480368	28.4398269810082
WBGene00022276	75.3666271337348	67.3416046053996	75.1484438303704	80.2020420703372	93.2199227248647	97.4780311938598
WBGene00022278	131.232390707005	125.267404049512	113.619769099578	126.626417971517	114.677384722997	96.6943882123898
WBGene00022279	37.5447731658542	23.9377728523751	29.5755505942964	20.9228032306126	25.7664638135544	30.2871218385769
WBGene00022275	0.0679821920875579	0.199771643050308	0.134978334946962	0.149945516747641	0.17980421931706	0.0791223628815032
WBGene00044345	40.8360512504846	41.8495576798339	43.111220997063	40.7873834364145	37.9614983290188	37.5147198549435
WBGene00021677	41.2939201542004	41.345387660093	40.4795571612643	42.9009681340754	40.9603838458808	35.4405530116283
WBGene00021678	1.35650331472652	1.06898677504162	1.08283788654177	0.845496920857743	0.686285757273596	1.12594426722451
WBGene00000812	106.666028520124	113.352950163136	115.459862640382	102.213337100286	97.2130137378067	107.371862327381
WBGene00021683	41.1275779823048	43.8324468415725	48.1681319770096	48.0012574490123	42.8827186414352	47.397965149796
WBGene00021682	22.6635703601426	22.617840849472	19.3176686074742	30.079218634798	26.7295644296535	20.2545074136488
WBGene00021676	44.9198951574343	44.5560997500928	48.4050510811092	44.7853033907368	42.0444185783863	45.9461152215699
WBGene00189949	16.0735561328398	10.9059385037064	7.81328542201624	7.31241925777748	10.7515981819086	6.85510563486308
WBGene00021681	252.050423874295	241.902391107832	228.170861427349	259.905652166154	231.29928834014	188.604597915042
WBGene00004274	677.007166182145	656.782972970191	533.243207670383	731.715743431	677.390537583453	560.702802562014
WBGene00004418	1824.56685179745	1795.62337123085	1488.45164324125	1772.19634718213	1778.50605478098	1549.74341156224
WBGene00018774	1.4158847470522	1.77265870186037	2.03698119829384	1.48851237145311	1.84394053102021	1.00704400085171
WBGene00018773	0.75832774527027	0.263304151524709	0.376246524511674	0.308513326861662	0.494052358003522	0.629456429358477
WBGene00000622	0.0623121800257187	0.117568473222652	0.42815043954824	0.297157525280676	0.187791574244269	0.273900983847145
WBGene00004962	0.225964297097044	0	0.360988945157962	0.154337529920958	0.0712039758274724	0.232444590601975
WBGene00003229	660.390681651918	631.318702970183	546.428033324551	738.167192670676	622.862933293552	555.251328330084
WBGene00018772	0.493691605013325	1.03553390162261	0.520437823356592	1.39958289730266	1.4664249038208	0.473333403227959
WBGene00018771	0.618272549272741	0.926962819759346	0.814501372699244	0.606526355770141	0.50423804241905	0.570380188341046
WBGene00271776	0.20769211047636	0.323495614397981	0.412725825021481	0.305481130568298	0	0.349906823762539
WBGene00000253	26.5863419974707	27.20521707527	27.7461559937348	21.8864597330781	28.3916546189996	22.1356261611781
WBGene00004225	9.21962003401713	9.35178472616497	8.89685758367036	6.41134371598142	8.22512244250016	7.86362323449556
WBGene00018958	8.02703048241639	8.64254824077387	7.79512756938456	20.3614191440568	20.8360245923443	12.0531753571061
WBGene00018957	38.2150986630354	44.9089320512124	42.9591002946455	30.6640409091847	30.655898169488	34.0314687862885
WBGene00018955	12.1900525735945	14.1474624363299	12.6539649213791	9.32163845776284	9.16324947104788	9.96795193767342
WBGene00000227	70.350571017192	72.4838353093163	82.6856518018145	83.284083509619	79.0038832112274	78.6278567157387
WBGene00021666	0.386905161065906	0.755552090697387	0.712986900958546	0.392244711804491	0.482110414137011	0.432916329561382
WBGene00004246	139.249522572596	149.519818226192	170.21819095603	149.369133412817	136.679977743894	170.623374304997
WBGene00021662	6.43600309724918	7.53306198171248	8.77856458614246	5.64564535988346	5.32977595253027	8.86614432617816
WBGene00255594	0.758958020036706	1.13238593034672	1.02439176423919	0.464534730221613	0.779870703080875	1.49999871910701
WBGene00021664	6.75992047025583	8.91208402477477	10.713175514589	13.2587267435167	11.87010145257	12.6633222016026
WBGene00306121	0.272172315786486	0.475849076087498	1.39379077769758	0.308513326861662	0.177298183313297	0.805087568468854
WBGene00021671	3.73985788721848	2.83060056735258	6.90491808886662	2.84245869857718	2.81945386690476	9.81734941220433
WBGene00021672	0.0615557382834881	0.0610745587404319	0.0631496502700266	0.0823347515837028	0	0
WBGene00021668	0.488055451548113	0.872217296402365	0.482984916404921	0.308324767760825	0.431098908507642	0.334328057130928
WBGene00021673	1.44192162111462	1.61296726973575	2.04068830435578	2.40556623005362	2.48280835827648	2.43722858150289
WBGene00021667	7.18402844920518	7.70046275319261	8.11189086894463	7.4886664475466	6.7905813464874	7.47122146502389
WBGene00021675	14.4335520774061	12.2773264948686	12.7694979234345	10.2570881513962	13.3450778797425	14.0916977618001
WBGene00016903	3.65256694015698	5.79894128486547	4.06767543504201	5.72457481406552	6.41012574506643	4.75255039046833
WBGene00016905	21.8237660129174	21.6349753506508	19.0014625850324	19.376922944572	18.4746686570055	17.4573736254399
WBGene00016902	25.4092970669095	34.9894577370593	41.7690082015475	23.5505376332845	26.2559397332604	38.5906487732571
WBGene00016906	20.8067827262569	21.5209489416171	27.7372508641739	14.3738244277937	17.9067393119307	22.1183093495902
WBGene00002077	817.326975147519	678.802649479641	665.730292828655	780.30338090348	669.637987732509	502.11268129073
WBGene00235385	3.5283191537708	3.86334451501185	3.36435029389369	3.40569581520101	3.77385757382822	3.4450628841155
WBGene00002079	403.219613504221	333.064327502187	331.590501376289	367.2363653891	321.81321414284	293.22432491315
