Gene	CF18_KO_6h	CF18_WT_6h	CF18_KO_4h	CF18_WT_4h
WBGene00023193	86.451081175177	35.5966111671228	41.2605838255421	33.2676664036659
WBGene00022277	26.2220410852741	16.5200156600295	26.0091174530175	16.0538652081184
WBGene00022276	178.305684755157	353.816929109523	193.214688339239	260.938056050631
WBGene00022278	30.032183148534	30.2332775364996	28.457737350257	26.5641008250646
WBGene00022279	81.0518848686313	68.2171479871812	84.9005361051354	68.1579278567793
WBGene00022275	2.32563239722775	1.99744221456141	2.13978000776646	1.6860651844649
WBGene00044345	17.5393240124825	11.9453179651154	17.3633183311359	11.6400660100287
WBGene00021677	10.8339703916821	9.6381371793879	10.9366012615423	9.25869667054672
WBGene00021678	0.127165822405571	1.14986563444153	0.515404371217739	1.54583734002512
WBGene00000812	70.7896248378036	65.5052976501748	70.7845792625895	68.3850171884645
WBGene00021683	30.8779227565803	32.1784336895895	30.3577249949012	30.4360542092488
WBGene00021682	8.05359499993859	6.25105061173699	7.66450986850386	6.68675990892976
WBGene00021676	17.8727104752014	13.7579716658616	18.6667589118039	12.7492795849335
WBGene00189949	0.287484631713996	0.396504455178735	0.2172524985769	0.436600709659072
WBGene00021681	170.439054492983	92.7976920231709	169.112343244217	94.7701815080074
WBGene00004274	394.19931724057	332.81737322881	344.490283495679	361.870477818842
WBGene00199899	0.393986560901343	0.304936964522483	0.344634145709114	0.330102085930747
WBGene00004418	3612.14551019367	2950.63940420242	4079.76740437205	3010.56443561139
WBGene00018774	2.87951690626636	2.28506457446591	3.56665086605917	2.18966266871761
WBGene00018773	0.23781183091155	0.293506639009227	0.161725399845616	0.137984414590948
WBGene00000622	0.429852013868769	0.318207249797071	0.221492742417947	0.432154275453606
WBGene00004962	0.141240674550354	0.301810881901296	0.142268755404452	0.207832236011591
WBGene00003229	72.6031313152859	40.618468906801	53.7175794967394	40.9245710701295
WBGene00018772	1.98439322076102	2.72520882326558	2.6499136388457	3.56157738803338
WBGene00018771	4.93919514121976	4.91038232849967	4.1338777651048	5.62220635642682
WBGene00271776	1.51543638219062	2.23737967911527	1.54684556256248	2.07413902578597
WBGene00000253	64.0793258725775	57.1698119889424	46.8510388923969	59.7138410239042
