Gene	Muscle	Intestine	Neurons	Hypodermis
WBGene00010465	1.84583497648939	1.69912425527575	2.24790784040756	1.65549582971563
WBGene00010466	0.663810969463636	0.399574091588638	0	0.152979242553939
WBGene00010467	0.0250952641569797	0.101751334642647	0.00994770107384047	0
WBGene00010468	0.0250952641569797	4.18551587655533	0.0129252308619392	0.0997584133677173
WBGene00010469	0.0493946030198486	0.0537532536720881	0.0457458638715593	0
WBGene00010470	3.57511977412097	19.0803080087032	2.73474737141506	3.22162690121855
WBGene00010473	0.143254635444926	0.313193176481354	0.167919134455695	0.0433813730495928
WBGene00010472	2.25456005606272	1.06463217997073	0.641171667071812	1.34268002889215
WBGene00010471	3.58656477802302	5.86980161639702	2.11602637786095	3.65128430495287
WBGene00008296	0.0930641071309662	1.51453152365864	0.374224784935963	0.551712115878099
WBGene00008298	4.28094892802445	26.151348723802	1.83500439066138	6.23220613591173
WBGene00008299	0.149377697000712	0.193058940880506	0	0.0983945613662883
WBGene00008300	0.22140297737023	0.221223638461444	1.79314008374305	0.39062707438338
WBGene00045400	0.073456555096701	0.128695409014727	0.0250619112543416	0.148527186921817
WBGene00005249	0	0	0.17746360219948	0
WBGene00044787	0	0.0580180130206131	0.0873224141554274	0.0277260092794127
WBGene00138721	0.0246973015099243	0.120165890317677	0.347327238543155	0.0196789122732577
WBGene00008301	0.121419883389367	0.305627034427332	0.654976398962227	0.097284128236529
WBGene00008302	0.0493946030198486	0.0346451114981771	0.399961411591112	0.00983945613662883
WBGene00008303	0.0716273177224628	0.0346451114981771	0.279918142725984	0.030200294410601
WBGene00008304	0.356307351238076	0.548566611269304	1.49900900747738	0.475460428803172
WBGene00009200	4.18580889053754	2.46418601838166	5.9817894817836	2.98717759051986
WBGene00001179	6.06516620368596	2.87008225030339	34.9143531618875	5.21023561682081
WBGene00009201	6.58736582172972	3.35698809006402	17.8787057296967	10.3706106380909
WBGene00198728	0.0232660267827416	0.0728613958459991	0.0640641650801668	0.0728997414594793
WBGene00000228	169.364889440693	39.0441376165745	7.91609173258982	11.1008956091659
WBGene00002133	1.34174177883882	0.579113513207859	0.634115774254961	0.651227433487232
WBGene00012244	1.82566888594703	2.68527476177103	1.73840291361626	0.940595209952545
WBGene00012243	1.75237290671137	1.85349891715856	2.46562831725377	2.44658943461902
WBGene00012245	12.3937362273401	8.33238570486568	39.7396934788299	10.4841721525128
WBGene00012142	0.217744502621754	0.294913515878397	0.765606951342875	0.393831664336823
WBGene00012145	0	0.104628920993411	0.343529185326135	0.289504809014233
WBGene00012143	0.541036622272064	0.716036996058659	0.355615976568578	3.20778556035152
WBGene00012144	1.04393593198146	10.7977521569922	7.68824131546809	4.66657444757418
WBGene00000285	4.10257079913658	1.34847996658387	2.08428866190141	0.73308897059908
WBGene00007552	0	0.95531470327406	0.186219519473728	0.19827968416984
WBGene00009722	1.11747625201423	2.86667591859808	9.64283672332779	1.69878146266864
WBGene00009723	1.3418185897638	3.06985803188389	0.95488089439483	37.1159293354664
WBGene00009724	0.994541328961615	3.64248029624075	5.98970689337535	20.3594888233918
WBGene00201625	0	0	0.0129252308619392	0.0375654654160415
WBGene00200754	0	0.0198017286727911	0.0121366803924025	0.00983945613662883
WBGene00004759	11.6999574474571	11.8504336427957	6.91653049660016	5.01121530471563
WBGene00008452	5.61417751724055	7.78185897694892	3.45052898696018	2.30576120328161
WBGene00008454	0.24649824152721	0.468273968441356	7.63401573531582	1.56974777664963
WBGene00001732	0.0479633282926659	0.019108142173911	0.349257683662325	0.030200294410601
WBGene00008453	4.65200911642254	0.974391190731142	10.074950390453	0.723016741816952
WBGene00007584	2.40547817021483	0.670524359800963	0.057093993794425	0.704125818754073
WBGene00007590	0.246896204174265	0.299281515582166	0.14800581611744	0.604747533693861
WBGene00007585	0.561363288675462	0.516002259267767	0.323230549848398	0.193018993101169
WBGene00007587	11.9495897168196	9.58048981631078	11.4068660159314	7.95094061240778
WBGene00007586	4.53141748982652	3.77179770611595	3.48407919283978	4.91928964273736
WBGene00007588	17.4583409073823	14.8975615938007	19.8631345422238	21.7365309293974
WBGene00007589	0.241010529404496	0.127308236016967	0.64615764466666	0.267039490803492
WBGene00119204	0	0.365694152227756	0.103401846895513	0.0498792066838586
WBGene00013853	1.73539051734545	3.26272875310798	2.86570742333538	1.12001290530576
WBGene00013855	36.0571934718723	0.470116592510678	1.63285674752431	0.93014081776991
WBGene00044198	0.147150496979418	0	0.456593194455927	0.0151001472053005
WBGene00010174	43.2044902420863	9.97388493884316	9.85749413218824	22.8442412499905
WBGene00001670	0.125476320784899	0.0785133281922843	0.281042121185042	0.321117334247804
WBGene00001671	0.645281208935238	0.145722791691998	0.345314931314641	0.344946504459974
WBGene00003011	1.66304408525385	1.20771552073928	3.16693545382688	1.60921166440581
WBGene00012277	0.390388226405208	0.399542436871808	0.663655422446346	0.938421704968066
WBGene00012276	0.595328067407294	2.30185964036712	0.479448210201132	2.71226710851409
WBGene00012278	0.0232660267827416	0.0785133281922843	0	0.0630602853228505
WBGene00012279	0.118159371287946	0.296165793804083	0.433652457179613	0.573379121765376
WBGene00010735	0.440180792072112	0.0728613958459991	5.73387007903225	0.605545846017325
WBGene00010734	0.245304353586044	0.718419200416277	0.446772276322175	0.425095030602144
WBGene00010737	0.168587286387922	0.0883983651702651	1.09836791216625	0.0440632990503073
WBGene00010736	10.8546252039889	19.2630581077753	17.2628980593033	11.9529245937899
WBGene00011242	1.9234247799066	2.28167404626118	5.26472428369112	2.18899894853157
WBGene00011243	0.0501905283139594	0.0919695380199101	0.262773709126394	0.0695581189571163
WBGene00011244	0.353682188569727	0.316205657904193	0	0.164494671498292
WBGene00006222	0	0	0.0427683340834606	0.0138630046397063
WBGene00011246	0.0748878298238837	0	0.241913084419128	0.0138630046397063
WBGene00045336	0.377346177999524	0.170482866212194	2.98646731719913	0.0755007360265025
WBGene00045517	0.194478475839012	0.0735549823448792	0	0.264126375430174
WBGene00004442	60.9000106530802	91.0600667517286	23.1338587904003	13.0469728796074
WBGene00011247	1.31585058938773	1.98377970367678	0.803643982609115	0.625479194708753
WBGene00011248	0.949601125984354	0.87482385594038	3.0664471908007	1.30255991263763
WBGene00000984	1.24152129807194	1.30368002796357	0.345364820464601	5.34306716506661
WBGene00007604	0.96503095027237	0.610425587283709	8.7624210782756	0.93757399627656
