Gene	Muscle	Intestine	Neurons	Hypodermis
WBGene00000683	2.83897288768313	23.4565412964286	5.73493050613475	1.7965164833518
WBGene00195012	0	0.0194878444116483	0.0154035547907321	0.00448441501822397
WBGene00000553	5.42155225453266	4.08547079399064	17.6005011655688	2.41557607262908
WBGene00019462	0.342366619926253	1.17858488632565	1.12423498686583	1.15691013608121
WBGene00001173	44.4849439458787	60.8444690108143	50.9724898029701	84.9863985526724
WBGene00201394	0	0	0.0128294614723083	0.0238635664144933
WBGene00195510	0.010603687690677	0	0.0462028282541747	0
WBGene00196527	0.0228747560656162	0.00986269131397426	0.218157063964733	0
WBGene00001186	0.942992424557796	0.976363918460947	18.9235770150313	4.75122038427619
WBGene00001253	0.735602310267625	0.265511777493737	9.16803157158856	0.997613978021204
WBGene00018681	7.07774665390876	2.7700181558454	26.0541238972965	5.22036442871131
WBGene00018680	0.621450357862286	0.143522929128266	1.51039974851471	0.401916662998853
WBGene00018679	2.82401976234963	1.62624101050423	1.61877285585632	0.519701808851607
WBGene00138717	0.579167469328154	0.881377644192397	1.0186072567327	0.201974686452178
WBGene00018678	1.27244167905718	1.64759633636647	0.492463260542711	0.857748752552065
WBGene00006738	0.392797673060115	1.01034902972557	0.115356308891842	0.0822932229093666
WBGene00021655	0.730309449572643	2.93350013630518	0.286909596242074	0.538001781126482
WBGene00044466	0.347459563963537	0.942169213970207	0.161312670743274	0.166450705501571
WBGene00022298	0.342270341782053	0.37165003975581	0	0.92420704166885
WBGene00022297	1.25245639506411	2.21174976370165	2.38054086471414	5.73166311332486
WBGene00022302	0.182047021857237	0.414694580075695	33.0238734990305	0.185574262616066
WBGene00022300	1.87758659318674	0.946719307610595	8.11687426155464	3.51577255498783
WBGene00022296	4.23802210892705	1.61300996212656	10.292528533915	2.58134276585799
WBGene00022301	8.25175160211273	3.49349295142183	13.3824506720407	1.47887684192473
WBGene00022303	0.110642994241964	0.0083826895910407	0.299887169355461	0.0786875901104095
WBGene00022295	0.313031498563944	0.21138329947224	1.57428830653437	0.0834816697800236
WBGene00201141	0.0245285031986652	0	0.0170624738749832	0.0239086368506494
WBGene00044467	2.11653168242536	1.1362735146085	3.49690032938182	3.08362376014305
WBGene00019874	0.0254950856931664	0.0990342741305307	0.150644672426113	0
WBGene00019873	1.31173251972474	1.69746611789857	8.36402507923762	1.9107809692609
WBGene00019875	2.3048845239884	18.9439122466678	15.9401713156899	22.8320076856029
WBGene00044649	0.174701407024857	0.0540461171882818	0.632893100080311	1.01992338752737
WBGene00219423	0	0.102318943181641	0.465675904021333	0.860492690790134
WBGene00000487	0.0406190818639081	0.00928607487614943	0.796430338108509	0.0654242459393377
WBGene00016027	0	0.620584311265666	1.01426814582568	1.50663397042098
WBGene00016025	0.116531407227744	0.0119835630073378	0.1281718172665	0.0210332012719084
WBGene00016024	0.350783360503271	0.265405063575768	5.70865953007209	0.113596518370294
WBGene00001729	0.0687760621765466	0.00974392220582417	0.0539142276769781	0.369976285070361
WBGene00016023	0.0818510637349355	0.39545073090186	0.00626436265740479	1.1213600763375
WBGene00016918	46.9850512947516	16.7473036746362	0.849858595808588	8.25875666210011
WBGene00016920	0.103171299532225	1.2175344382196	0.0981146205459712	5.21380688988765
WBGene00001557	0.25138925501466	0.70846498720245	0.826875848452253	0.522926821146002
WBGene00016919	0.262761066916215	1.53773817786284	1.18175215998983	1.75050516929693
WBGene00016917	0	0.0673679850405775	3.28618711353873	0.0229342290060536
WBGene00022134	8.34734566877761	8.13833466588829	53.9617322882969	11.7238879765122
WBGene00044650	12.1083954657462	1.94582240338125	17.9004266714695	6.37800302525405
WBGene00235277	0.0157383526076936	0.0103094510365802	0.0578492710211369	0.0293166196181527
WBGene00020208	13.0197462940622	3.85057599754198	13.9706622968574	2.29753146243731
WBGene00019785	1.43414037235388	1.23077988012146	0.764737260822426	0.542587168837263
WBGene00019783	0.434951780317126	0.251630312478892	0	0.470839713587457
WBGene00019786	3.20689145352716	2.42830077442681	1.15062938908442	0.572738820887278
WBGene00019787	1.87945387850343	3.74788052929045	1.31926566872288	1.35433323516709
WBGene00002990	6.03937520764576	7.08554661091256	1.53104272701043	12.2412037449755
WBGene00021416	0.0337663239752507	0.046549076917284	0.242607226797227	0.282363482429518
WBGene00006920	8.250031209394	26.4334279034575	24.6240144109722	219.674675558876
WBGene00006912	1.62731417192871	5.06828692811197	7.37382934514607	24.3612639714228
WBGene00219413	0	0.0400667850696068	0	0.207338665085346
WBGene00021415	0.18681553255062	1.06086736949952	2.01759061206947	3.79482588883902
WBGene00021417	0.0369744064061305	0.0688759121097031	2.14182041912772	0.106888764117379
WBGene00021418	0.153299947811006	0.223508170259611	0.249473564036385	0.013239241538618
WBGene00021425	6.09983280635658	2.52458436763637	2.36448645787923	0.687629737096684
WBGene00021423	10.3352131956769	3.59499804599342	6.39480219810428	4.12697856903593
WBGene00021421	5.43954823610992	6.11335388183236	1.89039196884673	0.500915494134201
WBGene00021427	8.22139322593355	16.0218979238383	1.35076065687672	6.94099688714139
WBGene00021420	21.0720947272787	59.7897882784724	3.76834219085852	46.5177345698197
WBGene00021419	0.215006913913857	0.935448510517455	0.214877958527139	0.5866521431232
WBGene00021428	0.0993729770227692	0.205588573594285	0.133444791252371	0.472855808906669
WBGene00021430	1.35528103375092	4.75956734324756	1.65409120482795	10.589963696342
WBGene00016671	0.012552762154969	0.494749975467438	0.146431314432127	1.65637798179577
WBGene00000402	0.27079387909272	5.58710200368198	2.68069913934965	0.936686315755942
WBGene00016670	0	0.0103094510365802	10.1464661510337	0.115036290856788
WBGene00016669	0.0575655362242634	0.0554848270240546	0.642157144740579	0.460879024426023
WBGene00001705	0.0938888410971173	0.106682679485707	0.322510908999999	0.00673707040281935
WBGene00044468	0.10628843915327	1.51832624974501	0.225213796260154	0.191765998571811
WBGene00022090	2.02709056598188	3.75248854369022	0.213402177247774	1.28114760148705
WBGene00022092	2.56915433487401	6.99792795394551	0.896126420225164	1.55722800783871
WBGene00022089	50.9248965070584	87.6880116491006	10.3729045873873	151.095332942023
WBGene00022087	3.57315946093618	10.8959594553169	4.89001705655026	9.09969037177546
WBGene00022086	0.0259059035222025	0.0216333668650283	1.51516168077524	0.335574979034223
WBGene00022094	0.0607007426386958	0.04636911833254	0.175042565604254	0.237749890058637
